name,price,price_per_gram,grams,type,producer,brand,potency,thc,cbd
THC Pre Milled Blend,74.95,3.57 ,21,Blend,AgMedica Bioscience,Five Founders,Very Strong,15.00 - 20.00%  ,0.00 - 1.00%  
All Purpose Flower Indica,"59.95, 99.95","4.28 , $3.57 ","14, 28",Indica Dominant,Hexo Operations,Bake Sale,Strong,14.00 - 17.00%  ,0.00 - 1.00%  
All Purpose Flower Sativa,"59.95, 99.95","4.28 , $3.57 ","14, 28",Sativa Dominant,Hexo Operations,Bake Sale,Strong,14.00 - 17.00%  ,0.00 - 1.00%  
Indica Blend,99.95,3.57 ,28,Indica Dominant,Natural MedCo,Eve & Co.,Strong,12.00 - 18.00%  ,0.00 - 1.99%  
Indica Bud,"21.95, 40.00, 99.95","4.39 , $4.00 , $3.57 ","5, 10, 28",Indica Dominant,Canopy Growth,Simple Stash,Strong,12.00 - 18.00%  ,0.00 - 0.50%  
Sativa Bud,"21.95, 40.00, 99.95","4.39 , $4.00 , $3.57 ","5, 10, 28",Sativa Dominant,Canopy Growth,Simple Stash,Strong,12.00 - 18.00%  ,0.00 - 0.50%  
Indica,"36.95, 99.95","5.28 , $3.57 ","7, 28",Indica Dominant,Sundial Growers,Grasslands,Very Strong,14.00 - 20.50%  ,0.00 - 1.00%  
Ready to Roll Milled Indica,54.95,3.66 ,15,Indica Dominant,Aphria,BINGO,Very Strong,14.00 - 20.00%  ,0.00 - 1.99%  
Ready to Roll Milled Sativa,54.95,3.66 ,15,Sativa Dominant,Aphria,BINGO,Very Strong,14.00 - 20.00%  ,0.00 - 1.99%  
Funk Master,28.50,4.07 ,7,Hybrid,Organigram,SHRED,Very Strong,18.00 - 24.00%  ,0.00 - 0.15%  
Gnarberry,28.50,4.07 ,7,Hybrid,Organigram,SHRED,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Tropic Thunder,28.50,4.07 ,7,Hybrid,Organigram,SHRED,Very Strong,18.00 - 24.20%  ,0.00 - 1.00%  
OS.HYBRID,"19.95, 65.45, 114.95","5.70 , $4.67 , $4.11 ","3.5, 14, 28",Sativa Dominant,Hexo Operations,Original Stash,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
OS.SATIVA,"19.95, 65.45, 114.95","5.70 , $4.67 , $4.11 ","3.5, 14, 28",Sativa Dominant,Hexo Operations,Original Stash,Very Strong,16.00 - 20.00%  ,0.00 - 1.00%  
OS.INDICA,"19.95, 65.45, 114.95","5.70 , $4.67 , $4.11 ","3.5, 14, 28",Indica Dominant,Hexo Operations,Original Stash,Very Strong,17.00 - 20.00%  ,0.00 - 1.00%  
Sativa!,"69.95, 116.95","4.66 , $4.18 ","15, 28",Sativa Dominant,Aphria,BINGO,Strong,13.00 - 17.00%  ,0.00 - 1.99%  
Indica!,"69.95, 116.95","4.66 , $4.18 ","15, 28",Indica Dominant,Aphria,BINGO,Strong,13.00 - 17.00%  ,0.00 - 1.99%  
Hybrid,117.60,4.20 ,28,Hybrid,Pure Sunfarms,Pure Sunfarms,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
Sativa,117.60,4.20 ,28,Sativa Dominant,Pure Sunfarms,Pure Sunfarms,Strong,14.00 - 19.00%  ,0.00 - 1.00%  
Indica,117.60,4.20 ,28,Indica Dominant,Pure Sunfarms,Pure Sunfarms,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Mazar,14.95,4.27 ,3.5,Indica Dominant,Bonify Holdings,Bonify,Very Strong,14.00 - 20.00%  ,0.00 - 0.30%  
Lemon Zkttl,14.95,4.27 ,3.5,Sativa Dominant,Bonify Holdings,Bonify,Strong,12.00 - 18.00%  ,0.00 - 0.30%  
Unrolled Sativa,59.95,4.28 ,14,Sativa Dominant,Mera Cannabis,Hunny Pot,Very Strong,19.00 - 24.00%  ,0.00 - 1.00%  
Cactus Breath,124.95,4.46 ,28,Indica Dominant,Terrascend Canada,Legend,Very Strong,15.50 - 21.50%  ,0.00 - 1.00%  
Grower's Choice Sativa,"21.50, 75.00, 125.00","6.14 , $5.00 , $4.46 ","3.5, 15, 28",Sativa Dominant,Aphria,Good Supply,Very Strong,16.00 - 22.00%  ,0.00 - 2.00%  
Grower's Choice Indica,"21.50, 75.00, 125.00","6.14 , $5.00 , $4.46 ","3.5, 15, 28",Indica Dominant,Aphria,Good Supply,Very Strong,16.00 - 22.00%  ,0.00 - 2.00%  
Indica Bud,125.00,4.46 ,28,Indica Dominant,Canopy Growth,Twd.28,Very Strong,16.00 - 22.00%  ,0.00 - 0.50%  
Sativa Bud,125.00,4.46 ,28,Sativa Dominant,Canopy Growth,Twd.28,Very Strong,16.00 - 22.00%  ,0.00 - 0.50%  
Daily Special Sativa,"21.95, 40.80, 75.00, 125.00","6.27 , $5.83 , $5.00 , $4.46 ","3.5, 7, 15, 28",Sativa Dominant,Aurora Cannabis,Daily Special,Very Strong,19.00 - 24.00%  ,0.00 - 1.00%  
Daily Special Indica,"21.95, 40.80, 75.00, 125.00","6.27 , $5.83 , $5.00 , $4.46 ","3.5, 7, 15, 28",Indica Dominant,Aurora Cannabis,Daily Special,Very Strong,19.00 - 24.00%  ,0.00 - 1.00%  
Sweet & Sour Sativa Ready-to-Roll,32.95,4.71 ,7,Blend,WeedMD,Saturday,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Bandwagon Blue Dream,134.95,4.82 ,28,Sativa Dominant,Rubicon Organics,Homestead,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Kandy Kush Grind,34.95,4.99 ,7,Indica Dominant,AB Laboratories,Steel City Green,Very Strong,16.00 - 21.00%  ,0.00 - 2.00%  
Chocolate Mint OG Grind,34.95,4.99 ,7,Indica Dominant,AB Laboratories,Steel City Green,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Sativa,"21.50, 40.00, 75.00","6.14 , $5.71 , $5.00 ","3.5, 7, 15",Sativa Dominant,Canopy Growth,TWD.,Very Strong,16.00 - 22.00%  ,0.00 - 0.50%  
Indica,"21.50, 40.00, 75.00","6.14 , $5.71 , $5.00 ","3.5, 7, 15",Indica Dominant,Canopy Growth,TWD.,Very Strong,16.00 - 22.00%  ,0.00 - 0.50%  
Wedding Pie,139.95,5.00 ,28,Indica Dominant,Kolab Project,Back Forty,Very Strong,21.00 - 27.00%  ,0.00%  
Animal Mints,139.95,5.00 ,28,Indica Dominant,Kolab Project,Back Forty,Very Strong,18.50 - 24.50%  ,0.00%  
Blue Dream Flower,139.95,5.00 ,28,Sativa Dominant,Canopy Growth,Twd.28,Very Strong,15.00 - 21.00%  ,0.00 - 0.50%  
Apple Pie Flower,139.95,5.00 ,28,Sativa Dominant,Canopy Growth,Twd.28,Very Strong,15.00 - 21.00%  ,0.00 - 0.50%  
Lemon Z,139.95,5.00 ,28,Sativa Dominant,WeedMD,Saturday,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
Pink Kush,"22.95, 42.70, 77.10, 139.95","6.56 , $6.10 , $5.51 , $5.00 ","3.5, 7, 14, 28",Indica Dominant,Pure Sunfarms,Pure Sunfarms,Very Strong,18.00 - 25.00%  ,0.00 - 1.00%  
Ultra Sour,143.95,5.14 ,28,Sativa Dominant,Organigram,Big Bag O Buds,Very Strong,17.00 - 23.00%  ,0.00 - 0.15%  
Sour Diesel,144.95,5.18 ,28,Indica Dominant,Redecan,Redecan,Strong,13.00 - 18.00%  ,0.00 - 1.00%  
Lemon Haze,"21.95, 72.95","6.27 , $5.21 ","3.5, 14",Sativa Dominant,Aurora Cannabis,Daily Special,Very Strong,20.00 - 25.00%  ,0.00 - 1.00%  
MK Ultra,72.95,5.21 ,14,Indica Dominant,Aurora Cannabis,Daily Special,Very Strong,20.00 - 25.00%  ,0.00 - 1.00%  
Tangie Green,"23.95, 147.25","6.84 , $5.26 ","3.5, 28",Hybrid,Aphria,Good Supply,Very Strong,17.00 - 23.00%  ,0.00 - 2.00%  
Sour Kush,"23.95, 86.25, 147.25","6.84 , $5.75 , $5.26 ","3.5, 15, 28",Hybrid,Aphria,Good Supply,Very Strong,17.00 - 23.00%  ,0.00 - 2.00%  
Starwalker Kush,"23.95, 86.25, 147.25","6.84 , $5.75 , $5.26 ","3.5, 15, 28",Indica Dominant,Aphria,Good Supply,Very Strong,18.50 - 24.50%  ,0.00 - 0.99%  
Monkey Glue,"23.95, 86.25, 147.25","6.84 , $5.75 , $5.26 ","3.5, 15, 28",Hybrid,Aphria,Good Supply,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
Jean Guy,"7.20, 23.95, 44.55, 86.25, 147.25","7.20 , $6.84 , $6.36 , $5.75 , $5.26 ","1, 3.5, 7, 15, 28",Sativa Dominant,Aphria,Good Supply,Very Strong,18.00 - 25.00%  ,0.00 - 1.00%  
AAA Hybrid,74.95,5.35 ,14,Hybrid,7ACRES,Hiway,Very Strong,14.00 - 20.50%  ,0.00 - 1.00%  
Cold Creek Kush,"7.50, 23.65, 43.75, 84.95, 149.95","7.50 , $6.76 , $6.25 , $5.66 , $5.36 ","1, 3.5, 7, 15, 28",Sativa Dominant,Redecan,Redecan,Very Strong,17.00 - 23.00%  ,0.00 - 1.50%  
OS.Reserve Hybrid,"49.95, 87.95, 149.95","7.14 , $6.28 , $5.36 ","7, 14, 28",Indica Dominant,Hexo Operations,Original Stash,Very Strong,20.00 - 27.00%  ,0.00 - 1.00%  
OS.Reserve Sativa,"49.95, 87.95, 149.95","7.14 , $6.28 , $5.36 ","7, 14, 28",Sativa Dominant,Hexo Operations,Original Stash,Very Strong,20.00 - 27.00%  ,0.00 - 1.00%  
