name,type,producer,brand,potency,thc_min,thc_max,cbd_min,cbd_max,price,price_per_gram,grams
THC Pre Milled Blend,Blend,AgMedica Bioscience,Five Founders,5,15.0,20.0,0.0,1.0,74.95,3.57,21
All Purpose Flower Indica,Indica Dominant,Hexo Operations,Bake Sale,4,14.0,17.0,0.0,1.0,59.95,4.28,14
All Purpose Flower Indica,Indica Dominant,Hexo Operations,Bake Sale,4,14.0,17.0,0.0,1.0,99.95,3.57,28
All Purpose Flower Sativa,Sativa Dominant,Hexo Operations,Bake Sale,4,14.0,17.0,0.0,1.0,59.95,4.28,14
All Purpose Flower Sativa,Sativa Dominant,Hexo Operations,Bake Sale,4,14.0,17.0,0.0,1.0,99.95,3.57,28
Indica Blend,Indica Dominant,Natural MedCo,Eve & Co.,4,12.0,18.0,0.0,1.99,99.95,3.57,28
Indica Bud,Indica Dominant,Canopy Growth,Simple Stash,4,12.0,18.0,0.0,0.5,21.95,4.39,5
Indica Bud,Indica Dominant,Canopy Growth,Simple Stash,4,12.0,18.0,0.0,0.5,40.00,4.00,10
Indica Bud,Indica Dominant,Canopy Growth,Simple Stash,4,12.0,18.0,0.0,0.5,99.95,3.57,28
Sativa Bud,Sativa Dominant,Canopy Growth,Simple Stash,4,12.0,18.0,0.0,0.5,21.95,4.39,5
Sativa Bud,Sativa Dominant,Canopy Growth,Simple Stash,4,12.0,18.0,0.0,0.5,40.00,4.00,10
Sativa Bud,Sativa Dominant,Canopy Growth,Simple Stash,4,12.0,18.0,0.0,0.5,99.95,3.57,28
Indica,Indica Dominant,Sundial Growers,Grasslands,5,14.0,20.5,0.0,1.0,36.95,5.28,7
Indica,Indica Dominant,Sundial Growers,Grasslands,5,14.0,20.5,0.0,1.0,99.95,3.57,28
Ready to Roll Milled Indica,Indica Dominant,Aphria,BINGO,5,14.0,20.0,0.0,1.99,54.95,3.66,15
Ready to Roll Milled Sativa,Sativa Dominant,Aphria,BINGO,5,14.0,20.0,0.0,1.99,54.95,3.66,15
Funk Master,Hybrid,Organigram,SHRED,5,18.0,24.0,0.0,0.15,28.50,4.07,7
Gnarberry,Hybrid,Organigram,SHRED,5,17.0,23.0,0.0,1.0,28.50,4.07,7
Tropic Thunder,Hybrid,Organigram,SHRED,5,18.0,24.2,0.0,1.0,28.50,4.07,7
OS.HYBRID,Sativa Dominant,Hexo Operations,Original Stash,5,14.0,20.0,0.0,1.0,19.95,5.70,3.5
OS.HYBRID,Sativa Dominant,Hexo Operations,Original Stash,5,14.0,20.0,0.0,1.0,65.45,4.67,14
